DayOfWeek,FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,CRSDepTime,CRSArrTime,CRSElapsedTime,Distance,ArrDelay,DelayFactor
3,2011-03-16,MQ,N819MQ,2711,DFW,"Dallas/Fort Worth, TX",TX,CAE,"Columbia, SC",SC,730.0,1045.0,135.0,922.0,-8.0,
5,2018-11-09,DL,N328DN,2193,TPA,"Tampa, FL",FL,ATL,"Atlanta, GA",GA,1342.0,1517.0,95.0,406.0,104.0,LateAircraftDelay
1,2010-10-04,US,N827AW,288,SJC,"San Jose, CA",CA,PHX,"Phoenix, AZ",AZ,1915.0,2101.0,106.0,622.0,48.0,LateAircraftDelay
6,2010-09-25,MQ,N909MQ,3901,PIT,"Pittsburgh, PA",PA,ORD,"Chicago, IL",IL,1015.0,1045.0,90.0,412.0,-8.0,
1,2014-01-13,DL,N902DA,1087,DAB,"Daytona Beach, FL",FL,ATL,"Atlanta, GA",GA,1405.0,1534.0,89.0,366.0,-6.0,
3,2017-05-24,NK,N639NK,878,MCO,"Orlando, FL",FL,LBE,"Latrobe, PA",PA,1930.0,2145.0,135.0,823.0,-14.0,
5,2015-02-13,DL,N326NB,866,SDF,"Louisville, KY",KY,ATL,"Atlanta, GA",GA,835.0,1008.0,93.0,321.0,-17.0,
4,2017-04-27,EV,N14904,4039,DCA,"Washington, DC",VA,CLE,"Cleveland, OH",OH,2005.0,2130.0,85.0,310.0,155.0,LateAircraftDelay
5,2015-09-04,UA,N403UA,834,SFO,"San Francisco, CA",CA,DEN,"Denver, CO",CO,1043.0,1418.0,155.0,967.0,-6.0,
1,2018-05-07,OO,N715SK,3060,TVC,"Traverse City, MI",MI,ORD,"Chicago, IL",IL,601.0,625.0,84.0,224.0,-9.0,
1,2017-12-04,DL,N302DN,74,TPA,"Tampa, FL",FL,ATL,"Atlanta, GA",GA,1724.0,1904.0,100.0,406.0,-2.0,
4,2012-02-16,DL,N924DN,1293,MSY,"New Orleans, LA",LA,ATL,"Atlanta, GA",GA,1630.0,1901.0,91.0,425.0,16.0,LateAircraftDelay
3,2016-02-10,OO,N438SW,7416,MSP,"Minneapolis, MN",MN,RHI,"Rhinelander, WI",WI,1416.0,1522.0,66.0,190.0,-12.0,
5,2014-01-24,DL,N3768,893,BNA,"Nashville, TN",TN,LAX,"Los Angeles, CA",CA,1700.0,1948.0,288.0,1797.0,19.0,LateAircraftDelay
3,2017-10-18,OO,N932EV,5037,LAX,"Los Angeles, CA",CA,MRY,"Monterey, CA",CA,1525.0,1638.0,73.0,266.0,37.0,LateAircraftDelay
3,2011-06-15,AA,N4WBAA,1875,DFW,"Dallas/Fort Worth, TX",TX,PHX,"Phoenix, AZ",AZ,1930.0,1950.0,140.0,868.0,35.0,NASDelay
1,2015-06-08,WN,N403WN,3567,DAL,"Dallas, TX",TX,LGA,"New York, NY",NY,1320.0,1750.0,210.0,1381.0,-17.0,
1,2014-02-10,WN,N967WN,4276,SJC,"San Jose, CA",CA,MDW,"Chicago, IL",IL,1405.0,2020.0,255.0,1838.0,-19.0,
1,2011-05-30,WN,N501SW,2396,MCI,"Kansas City, MO",MO,OKC,"Oklahoma City, OK",OK,1050.0,1200.0,70.0,313.0,-5.0,
2,2018-12-11,YX,N632RW,3683,ORD,"Chicago, IL",IL,OKC,"Oklahoma City, OK",OK,1250.0,1516.0,146.0,693.0,-32.0,
7,2018-02-11,DL,N3742C,1756,SEA,"Seattle, WA",WA,SLC,"Salt Lake City, UT",UT,1125.0,1420.0,115.0,689.0,-10.0,
2,2014-03-11,DL,N332NB,2302,MEM,"Memphis, TN",TN,TPA,"Tampa, FL",FL,1730.0,2016.0,106.0,655.0,-10.0,
7,2015-06-21,UA,N37274,1665,LAX,"Los Angeles, CA",CA,CLE,"Cleveland, OH",OH,926.0,1700.0,274.0,2052.0,15.0,CarrierDelay
2,2017-09-12,EV,N707EV,5379,MEM,"Memphis, TN",TN,LGA,"New York, NY",NY,606.0,945.0,159.0,963.0,63.0,CarrierDelay
3,2014-04-02,EV,N719EV,5355,ATL,"Atlanta, GA",GA,TYS,"Knoxville, TN",TN,1647.0,1739.0,52.0,152.0,66.0,CarrierDelay
2,2019-04-23,AA,N576UW,589,PHL,"Philadelphia, PA",PA,LAS,"Las Vegas, NV",NV,1835.0,2109.0,334.0,2176.0,18.0,NASDelay
1,2016-01-25,UA,N820UA,269,MEM,"Memphis, TN",TN,ORD,"Chicago, IL",IL,1424.0,1624.0,120.0,491.0,17.0,CarrierDelay
2,2016-01-19,AA,N3BCAA,1509,MIA,"Miami, FL",FL,BOS,"Boston, MA",MA,640.0,948.0,188.0,1258.0,59.0,CarrierDelay
5,2011-07-01,DL,N3773D,1117,DTW,"Detroit, MI",MI,LAS,"Las Vegas, NV",NV,2205.0,2328.0,263.0,1749.0,-24.0,
1,2012-11-26,DL,N712TW,701,SFO,"San Francisco, CA",CA,JFK,"New York, NY",NY,815.0,1649.0,334.0,2586.0,-13.0,
7,2019-03-31,WN,N928WN,4251,MCI,"Kansas City, MO",MO,BNA,"Nashville, TN",TN,915.0,1045.0,90.0,491.0,-6.0,
7,2010-08-08,MQ,N681MQ,3226,CRP,"Corpus Christi, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,1905.0,2025.0,80.0,354.0,-9.0,
1,2014-10-06,AA,N5EPAA,1017,DFW,"Dallas/Fort Worth, TX",TX,SEA,"Seattle, WA",WA,1755.0,2010.0,255.0,1660.0,50.0,WeatherDelay
4,2013-12-19,DL,N615DL,1164,ATL,"Atlanta, GA",GA,SRQ,"Sarasota/Bradenton, FL",FL,1906.0,2040.0,94.0,444.0,-5.0,
